participant_id,condition_order,age_range,device_type,gaming_freq,block,condition,trial,is_practice,target_x,target_y,click_x,click_y,radial_error,is_hit,reaction_time_ms,timestamp
hullo,VA,18-24,Mouse,Weekly,1,visual,1,0,593,110,285,256,340.64,0,13.9,2026-04-05T22:52:01.797Z
hullo,VA,18-24,Mouse,Weekly,1,visual,2,0,517,53,285,256,307.95,0,125.1,2026-04-05T22:52:02.880Z
hullo,VA,18-24,Mouse,Weekly,1,visual,3,0,395,176,285,256,135.72,0,112.4,2026-04-05T22:52:03.946Z
hullo,VA,18-24,Mouse,Weekly,1,visual,4,0,78,291,285,256,210.02,0,61.8,2026-04-05T22:52:04.962Z
hullo,VA,18-24,Mouse,Weekly,1,visual,5,0,316,430,285,256,177.23,0,41.3,2026-04-05T22:52:05.962Z
hullo,VA,18-24,Mouse,Weekly,1,visual,6,0,648,292,285,256,364.83,0,41.8,2026-04-05T22:52:06.963Z
hullo,VA,18-24,Mouse,Weekly,1,visual,7,0,134,425,285,256,227.00,0,30.3,2026-04-05T22:52:07.947Z
hullo,VA,18-24,Mouse,Weekly,1,visual,8,0,168,332,285,255,140.34,0,58.8,2026-04-05T22:52:08.963Z
hullo,VA,18-24,Mouse,Weekly,1,visual,9,0,672,123,285,255,408.73,0,30.4,2026-04-05T22:52:09.946Z
hullo,VA,18-24,Mouse,Weekly,1,visual,10,0,145,327,285,255,157.66,0,42.2,2026-04-05T22:52:10.947Z
hullo,VA,18-24,Mouse,Weekly,1,visual,11,0,405,404,285,255,191.70,0,58.7,2026-04-05T22:52:11.963Z
hullo,VA,18-24,Mouse,Weekly,1,visual,12,0,464,382,285,255,219.77,0,92.6,2026-04-05T22:52:13.013Z
hullo,VA,18-24,Mouse,Weekly,1,visual,13,0,642,96,284,255,391.52,0,80.6,2026-04-05T22:52:14.046Z
hullo,VA,18-24,Mouse,Weekly,1,visual,14,0,648,111,284,255,391.26,0,12.8,2026-04-05T22:52:15.013Z
hullo,VA,18-24,Mouse,Weekly,1,visual,15,0,587,107,284,255,336.99,0,30.0,2026-04-05T22:52:15.996Z
hullo,VA,18-24,Mouse,Weekly,1,visual,16,0,661,111,284,255,403.39,0,14.2,2026-04-05T22:52:16.964Z
hullo,VA,18-24,Mouse,Weekly,1,visual,17,0,87,58,284,255,278.25,0,14.0,2026-04-05T22:52:17.930Z
hullo,VA,18-24,Mouse,Weekly,1,visual,18,0,160,202,284,255,134.66,0,96.6,2026-04-05T22:52:18.979Z
hullo,VA,18-24,Mouse,Weekly,1,visual,19,0,322,439,284,255,188.37,0,113.5,2026-04-05T22:52:20.047Z
hullo,VA,18-24,Mouse,Weekly,1,visual,20,0,507,311,284,255,230.05,0,198.6,2026-04-05T22:52:21.197Z
